CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
PETTY THEFT,02/17/2025 07:15:00 AM,25-901545,THEFT,31X,451 HEGENBERGER RD,Oakland,CA,POINT (-122.1972 37.73765)
RECOVERED O/S STOLEN,03/18/2025 11:48:00 AM,25-012240,VEHICLE THEFT - AUTO,24X,3700 FOOTHILL BLVD,Oakland,CA,POINT (-122.21748 37.77974)
ROBBERY,02/21/2025 05:10:00 PM,25-008271,ROBBERY-FIREARM,77X,2992 E 9TH ST,Oakland,CA,POINT (-122.23048 37.77425)
DOMESTIC VIOLENCE,04/04/2025 05:38:00 PM,25-015067,ENT NONCOM DWELL:INCIDENT,26Y,6516 FENHAM ST,Oakland,CA,POINT (-122.198 37.76009)
DOMESTIC VIOLENCE,02/12/2025 02:12:00 AM,25-006577,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,26Y,1300 66TH AV,Oakland,CA,POINT (-122.19425 37.7615)
WEAPONS,01/29/2025 01:30:00 PM,25-004530,BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC W/INJURY,07X,24TH ST & WOOD ST,Oakland,CA,POINT (-122.29222 37.82026)
STOLEN VEHICLE,02/06/2025 06:00:00 PM,25-005823,VEHICLE THEFT - AUTO,77X,11028 APRICOT ST,Oakland,CA,POINT (-122.17051 37.73268)
MISDEMEANOR ASSAULT,03/22/2025 04:24:00 AM,25-012810,BATTERY W/SERIOUS BODILY INJURY,04X,1450 BROADWAY,Oakland,CA,POINT (-122.2708 37.80499)
FELONY ASSAULT,03/19/2025 11:06:00 PM,25-012475,CARRY LOADED FIREARM WITH INTENT TO COMMIT A FELONY,33X,8300 AMELIA ST,Oakland,CA,POINT (-122.18736 37.74995)
ROBBERY,01/26/2025 09:00:00 PM,25-004128,BATTERY,27X,47TH AV & BANCROFT AV,Oakland,CA,POINT (-122.20977 37.77177)
BURG - AUTO,04/02/2025 08:53:00 AM,25-014662,BURGLARY-AUTO,31X,451 HEGENBERGER RD,Oakland,CA,POINT (-122.1972 37.73765)
FORCIBLE RAPE,01/23/2025 10:00:00 PM,25-004452,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,16X,3300 LAKESHORE AV,Oakland,CA,POINT (-122.24411 37.81074)
PETTY THEFT,03/07/2025 12:00:00 AM,25-011655,THEFT,16Y,1853 MACARTHUR BLVD,Oakland,CA,POINT (-122.21926 37.8008)
CHILD ABUSE,04/02/2025 02:56:00 PM,25-014729,DAMAGE/DESTROY ANY WIRELESS COMMUNICATION DEVICE,30Y,7314 HILLSIDE ST,Oakland,CA,POINT (-122.17319 37.76806)
MISDEMEANOR ASSAULT,02/25/2025 09:15:00 PM,25-008846,OBSTRUCTS/RESISTS PUBLIC OFFICER/ETC,27Y,2600 63RD AV,Oakland,CA,POINT (-122.18732 37.76957)
PETTY THEFT,03/06/2025 06:00:00 PM,25-010648,THEFT,25X,4135 BAYO ST,Oakland,CA,POINT (-122.19124 37.7907)
,03/09/2025 12:00:00 AM,25-902474,VANDALISM,15X,1729 4TH AVE,Oakland,CA,POINT (-122.25165 37.79862)
BURG - RESIDENTIAL,02/19/2025 12:38:00 PM,25-007854,VIOLATION OF PROBATION-FELONY,08X,464 W MACARTHUR BLVD,Oakland,CA,POINT (-122.26377 37.8258)
FELONY ASSAULT,01/25/2025 12:39:00 AM,25-003867,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,30X,2339 HAVENSCOURT BLVD,Oakland,CA,POINT (-122.18748 37.76572)
PETTY THEFT,03/09/2025 12:00:00 AM,25-011433,THEFT,02Y,1453 5TH ST,Oakland,CA,POINT (-122.29555 37.80415)
WEAPONS,04/08/2025 05:00:00 PM,25-015682,ILLEGALLY POSSESS ANY ASSUALT WEAPON,26Y,6500 FENHAM ST,Oakland,CA,POINT (-122.19802 37.7601)
VANDALISM,03/23/2025 01:35:00 AM,25-902701,VANDALISM,30X,2062 81ST AV,Oakland,CA,POINT (-122.17155 37.76051)
BURG - COMMERCIAL,04/12/2025 05:54:00 AM,25-016277,BURGLARY-FORCIBLE ENTRY,13Z,6218 LA SALLE AV,Oakland,CA,POINT (-122.20918 37.82692)
,04/17/2025 11:44:00 PM,25-017157,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,34X,8725 BIRCH ST,Oakland,CA,POINT (-122.1705 37.7536)
MISDEMEANOR ASSAULT,02/22/2025 01:00:00 PM,25-008395,BATTERY:SPOUSE/ETC,03X,815 HARRISON ST,Oakland,CA,POINT (-122.26995 37.79915)
FELONY ASSAULT,02/03/2025 02:10:00 PM,25-006342,CONTEMPT OF COURT:DISORDERLY/ETC BEHAVIOR,07X,3650 MANDELA PKWY,Oakland,CA,POINT (-122.28834 37.82739)
PETTY THEFT,01/25/2025 12:00:00 AM,25-003954,PETTY THEFT:$50-,27X,5056 CONGRESS AV,Oakland,CA,POINT (-122.20196 37.77558)
,03/24/2025 01:00:00 PM,25-902640,BURGLARY-AUTO,08X,2500 BROADWAY,Oakland,CA,POINT (-122.26493 37.81431)
FELONY ASSAULT,03/30/2025 07:48:00 PM,25-014130,BATTERY ON PEACE OFFICER/EMERGENCY PERSONNEL/ETC,19X,2000 EMBARCADERO,Oakland,CA,POINT (-122.24289 37.78179)
STOLEN VEHICLE,03/24/2025 04:00:00 PM,25-013458,VEHICLE THEFT - AUTO,13Z,7081 SARONI DR,Oakland,CA,POINT (-122.19535 37.83449)
VANDALISM,02/09/2025 04:00:00 AM,25-006647,VANDALISM,32X,10715 BREED AV,Oakland,CA,POINT (-122.16162 37.73914)
HOMICIDE,01/24/2025 07:35:00 PM,25-003837,SC UNEXPLAINED DEATH,09X,4500 GILBERT ST,Oakland,CA,POINT (-122.2503 37.83281)
,04/18/2025 03:21:00 AM,25-017155,WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER,04X,134 14TH ST.,Oakland,CA,POINT (-122.26346 37.80128)
STOLEN VEHICLE,02/05/2025 08:04:00 AM,25-005538,VEHICLE THEFT - AUTO,10X,6120 MARKET ST,Oakland,CA,POINT (-122.27615 37.84572)
ROBBERY,02/02/2025 08:41:00 PM,25-005145,ROBBERY-FIREARM,09X,4193 PIEDMONT AV,Oakland,CA,POINT (-122.25133 37.82774)
FELONY ASSAULT,02/11/2025 08:10:00 AM,25-006374,"FORCE/ADW-HANDS, FISTS, FEET: GBI",33X,9415 INTERNATIONAL BLVD,Oakland,CA,POINT (-122.17243 37.74686)
STOLEN VEHICLE,03/04/2025 09:20:00 PM,25-010025,VEHICLE THEFT - AUTO,19X,1513 17TH AV,Oakland,CA,POINT (-122.24213 37.78875)
GRAND THEFT,04/04/2025 10:42:00 AM,25-015002,RECEIVE/ETC KNOWN STOLEN PROPERTY,26X,4301 SAN LEANDRO ST,Oakland,CA,POINT (-122.21705 37.77026)
BURG - COMMERCIAL,03/18/2025 02:58:00 AM,25-012189,BURGLARY-FORCIBLE ENTRY,22X,2042 MACARTHUR BLVD,Oakland,CA,POINT (-122.21759 37.80095)
POSSESSION - STOLEN PROPERTY,03/12/2025 02:15:00 PM,25-011272,POSSESS CONTROLLED SUBSTANCE,33X,1001 83RD AV,Oakland,CA,POINT (-122.18487 37.75143)
STOLEN VEHICLE,03/05/2025 07:15:00 AM,25-010265,VEHICLE THEFT - AUTO,22X,3550 FRUITVALE AV,Oakland,CA,POINT (-122.2158 37.80125)
MISDEMEANOR ASSAULT,02/02/2025 09:04:00 PM,25-005295,ANY PERSON WHO WILLFULLY THREATENS TO COMMIT A CRIME WHICH WILL RESULT IN DEATH OR GREAT BODILY INJURY TO ANOTHER PERSON,17X,1610 11TH AV,Oakland,CA,POINT (-122.24687 37.79275)
BURG - AUTO,04/15/2025 04:55:00 PM,25-016817,BURGLARY-AUTO,09X,4226 PIEDMONT AV,Oakland,CA,POINT (-122.25009 37.82781)
PETTY THEFT,03/08/2025 08:00:00 PM,25-010812,THEFT,31Y,725 S ELMHURST AV,Oakland,CA,POINT (-122.18403 37.73933)
ROBBERY,03/06/2025 08:15:00 PM,25-010326,ROBBERY-FIREARM,26X,5035 E 12TH ST,Oakland,CA,POINT (-122.21005 37.76723)
DOMESTIC VIOLENCE,02/14/2025 04:49:00 PM,25-007080,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,24Y,2921 ABBEY ST,Oakland,CA,POINT (-122.20603 37.78844)
ROBBERY,02/12/2025 08:50:00 AM,25-006600,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",21Y,2400 FRUITVALE AV,Oakland,CA,POINT (-122.22126 37.78699)
STOLEN VEHICLE,02/23/2025 04:00:00 PM,25-008932,VEHICLE THEFT - AUTO,28X,3121 COURTLAND AV,Oakland,CA,POINT (-122.19871 37.7838)
OTHER,03/30/2025 04:23:00 PM,25-014106,VIOLATION CUSTODY DECREE,03Y,455 7TH ST,Oakland,CA,POINT (-122.27482 37.79975)
ROBBERY,02/28/2025 09:05:00 PM,25-009320,CARRY CONCEALED WEAPON IN VEHICLE,25X,3530 MACARTHUR BLVD,Oakland,CA,POINT (-122.20008 37.79344)
BURG - RESIDENTIAL,01/27/2025 05:25:00 PM,25-004251,BURGLARY-FORCIBLE ENTRY,04X,528 THOMAS L BERKLEY WY,Oakland,CA,POINT (-122.27047 37.80969)
BURG - AUTO,03/27/2025 10:30:00 AM,25-013623,BURGLARY-AUTO,04X,500 WILLIAM ST,Oakland,CA,POINT (-122.27043 37.80907)
VANDALISM,03/24/2025 06:00:00 AM,25-902695,VANDALISM,14X,2700 HARRISON ST,Oakland,CA,POINT (-122.25966 37.81473)
DOMESTIC VIOLENCE,03/20/2025 12:00:00 PM,25-013683,INFLICT CRPL INJ SP/COHAB,07X,2601 WOOD ST,Oakland,CA,POINT (-122.29092 37.82195)
RECOVERED VEHICLE - OAKLAND STOLEN,02/06/2025 02:57:00 PM,25-005749,POSS STOLEN VEH/VES/ETC,19X,1600 E 12TH ST,Oakland,CA,POINT (-122.24479 37.78742)
STOLEN VEHICLE,01/31/2025 07:30:00 PM,25-004886,VEHICLE THEFT - AUTO,04X,2000 SAN PABLO AV,Oakland,CA,POINT (-122.27308 37.81024)
STOLEN VEHICLE,01/28/2025 08:00:00 PM,25-004436,VEHICLE THEFT - AUTO,21Y,3089 BLOSSOM ST,Oakland,CA,POINT (-122.22078 37.78907)
ARSON,02/11/2025 05:20:00 AM,25-006365,BURGLARY-FORCIBLE ENTRY,17Y,2401 IVY DR,Oakland,CA,POINT (-122.24353 37.80115)
GRAND THEFT,02/23/2025 01:00:00 PM,25-008499,THEFT,17X,415 E 19TH ST,Oakland,CA,POINT (-122.24974 37.79955)
BURG - AUTO,01/21/2025 03:20:00 PM,25-003260,BURGLARY-AUTO,14Y,3277 LAKESHORE AV,Oakland,CA,POINT (-122.2445 37.8106)
HOMICIDE,01/30/2025 06:00:00 PM,25-004747,SC UNEXPLAINED DEATH,03Y,655 12TH ST,Oakland,CA,POINT (-122.27719 37.80493)
STOLEN VEHICLE,03/03/2025 10:00:00 AM,25-010144,VEHICLE THEFT - AUTO,04X,634 15TH ST,Oakland,CA,POINT (-122.27514 37.80672)
MISDEMEANOR ASSAULT,02/25/2025 04:00:00 PM,25-009195,THEFT,06X,3700 WEST ST,Oakland,CA,POINT (-122.27185 37.82681)
OTHER,04/05/2025 12:00:00 PM,25-015175,CONTEMPT OF COURT:VIOLATE PROTECTIVE ORDER/ETC,24X,38TH AV & SAN JUAN ST,Oakland,CA,POINT (-122.21588 37.77961)
